Name,Contracts,Type
"Vitale Voltani",4,stans
"Viticlino Bon",1,tractor
"Vito Bon",1,stans
"Vito Canal",1,stans
"Vivaldo da Mantova",1,stans
"Viviano Da Molin",2,tractor
"Viviano Miani",1,tractor
"Zaccaria Nani",1,stans
"Zaccaria Staniario",6,tractor→tractor
"Zambonino de Rodanis da Cremona",1,stans
"Zanino Morosini",3,tractor→stans
"Ziani Badoer",1,stans
"Zorzi Balestrieri",1,stans
"Zorzi Katarino",1,tractor
"wife of tractor Tron",1,stans
