source,docnumber,year,contract_type,repeat_note,tractor_firstname_italian,tractor_familyname_italian,tractor_firstname_latin,tractor_familyname_latin,tractor_familyname_std_gc,tractor_familyname_std,tractor_2_firstname_italian,tractor_2_familyname_italian,tractor_2_firstname_latin,tractor_2_familyname_latin,tractor_2_familyname_std_gc,tractor_2_familyname_std,stans_firstname_italian,stans_familyname_italian,stans_firstname_latin,stans_familyname_latin,stans_familyname_std_gc,stans_familyname_std,stans_2_firstname_italian,stans_2_familyname_italian,stans_2_firstname_latin,stans_2_familyname_latin,stans_2_familyname_std_gc,stans_2_familyname_std
"Tiepolo (1970)",44,1310,"colleganza","","Corrado","Duracino","Coradus","Duracino","","","","","","","","","Benedetto","Trevisan","Benedicto","Trivisano","Trevisan","Trevisan","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",859,1260,"colleganza","","Pietro","Gausoni","Petrus","Gausoni","Gussoni","Gussoni","","","","","","","Giovanni","da Canale","Iohanne","da Canale","Canal","Canal","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",812,1253,"repeat","copy of document 811","","","","","","","","","","","","","","","","","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",689,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Pietro","Alberto","Petro","Alberto","Alberto","Alberto","","","","","",""
"Sebellico (1973)",438,1326,"colleganza","","Marino","Morosini","Marinus","Moroceno","Morosini","Morosini","","","","","","","Domenico","Leone","Domençi","Leoni","Lion","Lion","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",856,1260,"colleganza","","Riniero","Trevisan","Raynerius","Tervisanus","Trevisan","Trevisan","","","","","","","Lazzaro","Scutario","Lacaro","Scutario","","Scutario","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",65,1205,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Marino","Dauro","Marinus","Dauro","Dauro","Dauro","","","","","",""
"Sebellico (1973)",295,1323,"colleganza","","Giacomello","Tiepolo","Iacobelus","Teupulo","Tiepolo","Tiepolo","","","","","","","Michele","Contarini","Michaeli","Contareno","Contarini","Contarini","","","","","",""
"Tiepolo (1970)",391,1314,"colleganza","","Marco","Bellino","Marcus","Belino","Belegno","Belegno","","","","","","","Constanza","Barbetta","Costança","Barbeta","Barbetta","Barbetta","","","","","",""
"Tiepolo (1970)",233,1312,"colleganza","","Bonomo","unknown","Bonhomo","unknown","","","","","","","","","Maddalena","da Pesaro","Magdalena","da Pesaro","Pesaro","Pesaro","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",426,1195,"colleganza","","Pietro","Tiepolo","Petrus","Teupulo","Tiepolo","Tiepolo","","","","","","","Sparvere","da Canale","Sparvere","da Canale","Canal","Canal","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",824,1254,"colleganza","","Marco","Simitecolo","Marcus","Simiteculo","Semitecolo","Semitecolo","","","","","","","Grandonio","di Troia","Grandonio","de Troia","","","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",78,1212,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Matteo","Marzolo","Mathei","Marçolo","","","","","","","",""
"Sebellico (1973)",109,1319,"colleganza","","Filippo","Barbadico","Phylippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Marino","Badoer","Marino","Baduario","Badoer","Badoer","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",59,1202,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Filippo","Boccasso","Phylippus","de lo Buccasso","Boccazo","Boccazo","","","","","",""
"Sebellico (1973)",410,1325,"colleganza","","Donato","Grioni","Donatus","Grioni","Grioni","Grioni","","","","","","","Andrea","Briza","Andree","Briçi","Brizi","Brizi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",622,1225,"colleganza","","Nicola","Badoer","Nicolaus","Badovario","Badoer","Badoer","Michele","Emo","Michael","Aymo","Emo","Emo","Giovanni","Badoer","Iohanne","Badovario","Badoer","Badoer","","","","","",""
"Sebellico (1973)",49,1316,"colleganza","","Giovannino","Sanudo","Iohanninus","Sanudo","Sanudo","Sanudo","","","","","","","Filippo","Sanudo","Philippo","Sanudo","Sanudo","Sanudo","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",80,1222,"colleganza settlement","","Domenico","Gradenigo","Domenico","Gradonico","Gradenigo","Gradenigo","","","","","","","Oria","Gradenigo","Oria","Gradonico","Gradenigo","Gradenigo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",393,1189,"colleganza settlement","","Andrea","da Molin","Andree","da Molino","Da Molin","Da Molin","","","","","","","Pietro","da Molin","Petrus","da Molino","Da Molin","Da Molin","","","","","",""
"Sebellico (1973)",816,1331,"colleganza","","Gabriele","Trevisan","Gabriel","Tervisano","Trevisan","Trevisan","","","","","","","Marco","Giustinian","Marco","Iustiniano","Giustinian","Giustinian","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",746,1242,"colleganza","","Gerardo","Miliano","Girardus","Miliano","Miani","Miani","","","","","","","Lazzaro","Mercadante","Lacaro","Marcadante","","","","","","","",""
"Sebellico (1973)",817,1331,"colleganza","","Gabriele","Trevisan","Gabriel","Tervisano","Trevisan","Trevisan","","","","","","","Nicola","da le Sevele","Nicolao","de la Sevele","Dalle Sevole","Dalle Sevole","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",68,1207,"colleganza","","Marco","Simone","Marcus","Simeon","","","","","","","","","Antolino","Curtulo da Torcello","Antolino","Curtulo de Torcello","","Curtolo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",610,1222,"colleganza settlement","","Giovanni","Fradello","Iohanni","Fradello","Fradello","Fradello","","","","","","","Matteo","Barbo","Matheus","Barbo","Barbo","Barbo","","","","","",""
"Sebellico (1973)",300,1323,"colleganza","","Filippo","Orio","Philippus","Aurio","Orio","Orio","","","","","","","Nicola","Caravello","Nicolao","Caravello","Caravello","Caravello","","","","","",""
"Sebellico (1973)",59,1316,"colleganza","","Marinello","Badoer","Marinellus","Baduario","Badoer","Badoer","","","","","","","Maria","Soranzo","Maria","Superancio","Soranzo","Soranzo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",424,1153,"colleganza settlement","","Giovanni","Bonoaldo","Iohannis","Bonoaldi","Bonaldi","Bonaldi","","","","","","","Aurei","Mastropiero","Aurei","Mastropetro","","Mastropetro","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",99,1255,"colleganza","","Zorzi","Katarino","Çorçi","Katarino","","","","","","","","","Pietro","Viadro","Petro","Viadro","Viaro","Viaro","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",719,1239,"colleganza","","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Giacomo","Seio","Iacobo","Seio","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",488,1207,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Filippo","Viadro","Phylipo","Viadro","Viaro","Viaro","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",750,1242,"colleganza","","Odorico","Bello","Odoricus","Bello","Belli","Belli","","","","","","","Stadio","Venier","Stadio","Venero","Venier","Venier","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",649,1227,"colleganza settlement","","Rinaldo","Longo","Raynaldo","Longo","Longo","Longo","","","","","","","Simeone","Bredano","Symeon","Bredano","Bredani","Bredani","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",738,1239,"colleganza settlement","","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Pietro","Venier","Petrus","Venero","Venier","Venier","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",48,1198,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Domenico","Aldoino","Dominicus","Aldoyno","Arduini","Arduini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",740,1239,"repeat","settlement for document 722","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Marco","Seio","Marcus","Seio","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",471,1205,"colleganza","","Ugolino","Bocca d'Uomo","Ugolinus","Hos Hominis","","","","","","","","","Pietro","di Guazo","Petro","de Guaço","","","","","","","",""
"Sebellico (1973)",114,1319,"colleganza","","Biagio","Malipiero","Blaxius","Malipero","Malipiero","Malipiero","","","","","","","Marco","Giustinian","Marco","Iustiniano","Giustinian","Giustinian","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",400,1191,"colleganza settlement","","Pietro","Falier","Petro","Faletro","Falier","Falier","","","","","","","Pietro","Michiel","Petrus","Michael","Michiel","Michiel","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",478,1206,"colleganza","","Pietro","da Ferraguto","Petrus","da Feragudo","","","","","","","","","Zaccaria","Stagnario","Cacharia","Staniario","Staniario","Staniario","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",793,1248,"colleganza","","Bertaldino","Trevisan","Bertaldinus","Tervisano","Trevisan","Trevisan","","","","","","","Lazzaro","Mercadante","Lacaro","Mercadante","","","","","","","",""
"Tiepolo (1970)",203,1312,"colleganza","","Radovan","Rachovich","Radovan","Rachovich","","","Dominico","de Iema","Dominicus","de Iema","","","Zambonino","de Rodanis da Cremona","Çanbonino","de Rodanis de Cremona","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",816,1252,"colleganza settlement","","Odorico","Belli","Odorico","Belli","Belli","Belli","","","","","","","Pietro","Falier","Petrus","Faletro","Falier","Falier","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",657,1231,"colleganza","","Andrea","Soranzo","Andreas","Superancio","Soranzo","Soranzo","","","","","","","Bartolomeo","","Bartholomeo","","","","","","","","",""
"Sebellico (1973)",348,1323,"colleganza","","Giovanni","Morosini","Iohannes","Moroceno","Morosini","Morosini","","","","","","","Marino","Moro","Marino","Mauro","Moro","Moro","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",717,1239,"colleganza","","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Giovanni","della Fontana","Iohanne","de la Fontana","Dalla Fontana","Dalla Fontana","","","","","",""
"Sebellico (1973)",154,1320,"colleganza","","Biagio","Malipiero","Blasius","Malipero","Malipiero","Malipiero","","","","","","","Caterina","Arimondo","Catherina","Arimondo","Arimondo","Arimondo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",483,1206,"colleganza","","Giovanni","Corner","Iohannes","Cornarius","Corner","Corner","","","","","","","Angelo","Simitecolo","Angelo","Simiteculo","Semitecolo","Semitecolo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",620,1225,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Tommasina","Gradenigo","Thomasina","Gradonici","Gradenigo","Gradenigo","","","","","",""
"Sebellico (1973)",51,1316,"colleganza","","Giovannino","Sanudo","Iohanninus","Sanudo","Sanudo","Sanudo","","","","","","","Giovanni","Soranzo","Iohanne","Superancio","Soranzo","Soranzo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",667,1231,"repeat","settlement for document 657","Andrea","Soranzo","Andree","Superancio","Soranzo","Soranzo","","","","","","","","","","","","","","","","","",""
"Sebellico (1973)",322,1323,"colleganza","","Marco","da Molin","Marcus","de Molino","Da Molin","Da Molin","","","","","","","Andrea","Brizi","Andree","Briçi","Brizi","Brizi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",532,1211,"colleganza","","Guidotto","Gritti","Vidotus","Greti","Gritti","Gritti","","","","","","","Vitale","Gritti","Vitale","Greti","Gritti","Gritti","","","","","",""
"Sebellico (1973)",204,1321,"colleganza","","Giacomello","Tiepolo","Iacobellus","Teupulo","Tiepolo","Tiepolo","","","","","","","Giovannino","Tiepolo","Iohannino","Teupulo","Tiepolo","Tiepolo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",592,1220,"colleganza settlement","","Matteo","de Manzolo","Matheo","de Mancolo","","","","","","","","","Leonardo","Villano","Leonardus","Villano","","","","","","","",""
"Sebellico (1973)",47,1316,"colleganza","","Giovannino","Sanudo","Iohanninus","Sanudo","Sanudo","Sanudo","","","","","","","Nicola","Soranzo","Nicolai","Superancio","Soranzo","Soranzo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",501,1208,"colleganza","","Michele","Emo","Michael","Aymo","Emo","Emo","","","","","","","Domenico","Villari","Dominico","Vilglare","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",831,1255,"colleganza","","Gerardo","Trevisan","Gerardus","Tervisano","Trevisan","Trevisan","","","","","","","Pietro","Trevisan","Petro","Tervisano","Trevisan","Trevisan","","","","","",""
"Sebellico (1973)",58,1316,"colleganza","","Marinello","Badoer","Marinellus","Baduario","Badoer","Badoer","","","","","","","Pietro","Gisi","Petro","Gixi","Ghisi","Ghisi","","","","","",""
"Sebellico (1973)",413,1325,"colleganza","","Filippo","Barbadico","Philippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Marco","Morosini","Marco","Moroceno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",656,1231,"colleganza","","Tommaso","Falier","Thomas","Faletro","Falier","Falier","","","","","","","Andrea","Tomato","Andrea","Tomatho","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",567,1217,"colleganza settlement","","Giovanni","Corner","Iohanni","Cornario","Corner","Corner","","","","","","","Leonardo","Bosio","Leonardus","Bosio","","Bosio","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",686,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Lombardo","Bono","Lombardo","Bono","Bon","Bon","","","","","",""
"Tiepolo (1970)",225,1312,"colleganza","","Geremia","Bonoto","Çeremias","Bonoto","","","","","","","","","Rodolfo","de Stolla","Redulfo","de Stolla","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",805,1223,"colleganza settlement","","Marino","da Canale","Marini","da Canale","Canal","Canal","","","","","","","Paolo","Navigaioso","Pauli","Navigaioso","Navigroso","Navigroso","","","","","",""
"Lombardo and Morozzo della Rocca (1953)",66,1205,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Matteo","Marzulo","Matheo","Marçulo","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",664,1232,"colleganza","","Omobono","Barbo","Homobonus","Barbo","Barbo","Barbo","","","","","","","Filippo","Belligno","Philipo","Belligno","Belegno","Belegno","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",694,1235,"colleganza","","Angelo","de Albrigeto","Angelus","de Albrigeto","","","","","","","","","Gabriele","Marignoni","Gabriele","Marignoni","Marioni","Marioni","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",337,1182,"colleganza settlement","","Domenico","Corner","Dominico","Cornario","Corner","Corner","","","","","","","Michele","Simitecolo","Michael","Symiteculo","Semitecolo","Semitecolo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",828,1255,"colleganza","","Antonio","Squaglia","Antonius","Squalla","","","","","","","","","Pietro","Trevisan","Petro","Tervisano","Trevisan","Trevisan","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",762,1243,"colleganza","","Omobono","Barbo","Homobonus","Barbo","Barbo","Barbo","","","","","","","Giovanni","Saponario","Iohanne","Savonario","Savoner","Savoner","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",671,1233,"colleganza","","Giacomo","Fel","Iacobus","Fel","","","","","","","","","Mliziana","Fel","Mliciana","Fel","","","","","","","",""
"Sebellico (1973)",226,1322,"colleganza","","Nascimbene","Musolino","Nascimbene","Musolino","Mussolino","Mussolino","","","","","","","Andriolo","Trevisan","Andriolo","Tervisano","Trevisan","Trevisan","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",444,1199,"colleganza","","Zaccaria","Stagnario","Zacharie","Staniario","Staniario","Staniario","","","","","","","Giovanni","Agadi","Iohanne","Agadi","Agadi","Agadi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",835,1256,"colleganza","","Clemenazo","Rosso","Clemanacus","Russo","Rosso","Rosso","","","","","","","Martino","Messeta","Martino","Messeta","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",602,1222,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Auria","Gradonico","Auria","Gradonici","Gradenigo","Gradenigo","","","","","",""
"Sebellico (1973)",345,1323,"colleganza","","Filippo","Barbadico","Philippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Marco","Morosini","Marco","Moroceno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",635,1224,"colleganza settlement","","Giovanni","Michiel","Iohanni","Michaeli","Michiel","Michiel","","","","","","","Marino","Permarino","Marinus","Permarinus","Premarin","Premarin","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",675,1234,"colleganza","","Marco","Marino","Marcus","Marino","Marin","Marin","","","","","","","Donato","Fradello","Donato","Fradello","Fradello","Fradello","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",668,1232,"colleganza","","Nicola","Emo","Nicolaus","Aymo","Emo","Emo","","","","","","","Girardo","Albizo","Girardo","Albico","Albizzo","Albizzo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",578,1218,"colleganza","","Michele","Emo","Michael","Aymo","Emo","Emo","","","","","","","Ota","Zorzi","Ota","Georgio","Zorzi","Zorzi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",767,1244,"colleganza","","Bartolomeo","Spoletino","Bartholomeus","Spoletinus","","","","","","","","","Palma","Navagero","Palma","Navaglaro","Navager","Navager","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",404,1191,"colleganza settlement","","Pietro","Falier","Petro","Faletro","Falier","Falier","","","","","","","Filippo","Marcello","Philippus","Marcello","Marcello","Marcello","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",401,1189,"colleganza settlement","","Pietro","Tiepolo","Petro","Teupulo","Tiepolo","Tiepolo","","","","","","","Filippo","Marcello","Philippus","Marcello","Marcello","Marcello","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",662,1232,"colleganza","","Marco","Romano","Marcus","Romano","Romani","Romani","","","","","","","Marino","Marcello","Marino","Marcello","Marcello","Marcello","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",684,1234,"colleganza","","Rodolfo","de Suligo","Redolfus","de Suligo","","","","","","","","","Simone","da Veglia","Simone","de Vegia","Veglia","Veglia","","","","","",""
"Tiepolo (1970)",94,1311,"colleganza","","Antonio","Alberto","Antonius","Alberto","Alberto","Alberto","","","","","","","Boni","unknown","Boni","unknown","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",739,1239,"repeat","settlement for document 721","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Filippo","Donà","Phylippus","Donato","Donato","Donato","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",809,1252,"colleganza","","Giovanni","Tiepolo","Iohannes","Theupulo","Tiepolo","Tiepolo","","","","","","","Gabriele","Marignoni","Gabriele","Marignono","Marioni","Marioni","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",409,1189,"colleganza settlement","","Filippo","d'Albiola","Phylippo","d'Aybolo","","","","","","","","","Leonardo","di Bocasso","Leonardus","de Bocasso","Boccazo","Boccazo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",499,1207,"repeat","settlement for document 489","Domenico","Gradenigo","Dominico","Gradonico","Gradenigo","Gradenigo","","","","","","","Matteo","Marzolo","Matheo","Marcolo","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",842,1257,"colleganza","","Tommaso","Marin","Thomas","Marino","Marin","Marin","","","","","","","Marco","Marignoni","Marco","Marignoni","Marioni","Marioni","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",654,1231,"colleganza","","Andrea","Soranzo","Andreas","Superancio","Soranzo","Soranzo","","","","","","","Filippa","Quirini","Phylippa","Quirini","Querini","Querini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",461,1201,"colleganza settlement","","Tommaso","Viadro","Thome","Viadro","Viaro","Viaro","","","","","","","Pietro","da Muggia","Petrus","da Mugla","Da Mula","Da Mula","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",397,1191,"colleganza settlement","","Domenico","Corner","Dominico","Cornario","Corner","Corner","","","","","","","Andrea","Donato","Andreas","Donato","Donato","Donato","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",603,1222,"colleganza","","Domenico","Gradenigo","Dominicus","Gradonicus","Gradenigo","Gradenigo","","","","","","","Protasio","Venier","Portasio","Venero","Venier","Venier","","","","","",""
"Sebellico (1973)",153,1320,"colleganza","","Biagio","Malipiero","Blasius","Malipero","Malipiero","Malipiero","","","","","","","Nicola","Arimondo","Nicolao","Arimondo","Arimondo","Arimondo","","","","","",""
"Sebellico (1973)",208,1321,"colleganza","","Giacomello","Tiepolo","Iacobellus","Teupulo","Tiepolo","Tiepolo","","","","","","","Andriolo","Baseggio","Andrioli","Baseio","Baseggio","Baseggio","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",811,1253,"colleganza","","Giovanni","Emo","Iohannes","Aymo","Emo","Emo","","","","","","","Bartolotta","Nicola","Bartholota","Nichola","Nicola","Nicola","","","","","",""
"Tiepolo (1970)",346,1313,"colleganza","","Matteo","d'Ancontano","Matheus","d'Ancontano","","","","","","","","","Emia","Giustinian","Emia","Iustiniano","Giustinian","Giustinian","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",391,1190,"colleganza","","Domenico","Corner","Dominicus","Cornario","Corner","Corner","","","","","","","Michele","Simitecolo","Michaeli","Simiteculo","Semitecolo","Semitecolo","","","","","",""
"Sebellico (1973)",962,1338,"colleganza","","Andriolo","da Molin","Ardriolus","de Molino","Da Molin","Da Molin","","","","","","","Marchesina","da Molin","Marchexine","de Molino","Da Molin","Da Molin","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",42,1121,"colleganza settlement","","Giovanni","Mauro","Iohanni","Mauro","Moro","Moro","","","","","","","Domenico","Ardizzone","Dominicus","Ardicione","Ardizon","Ardizon","","","","","",""
"Sebellico (1973)",524,1329,"colleganza","","Filippo","Barbadico","Philippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Marco","Morosini","Marco","Moroceno","Morosini","Morosini","","","","","",""
"Sebellico (1973)",819,1331,"colleganza","","Marco","da Molin","Marcus","de Molino","Da Molin","Da Molin","","","","","","","Andrea","Brizi","Andree","Briçi","Brizi","Brizi","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",814,1253,"colleganza","","Giovanni","Emo","Iohannes","Aymo","Emo","Emo","","","","","","","Marino","Badoer","Marino","Badovario","Badoer","Badoer","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",647,1228,"colleganza settlement","","Leonardo","Minio","Leonardo","Minio","Minio","Minio","","","","","","","Giacomina","Iantani","Iacomina","Iantani","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",207,1167,"colleganza reference","","Bartolomeo","Giuliano","Bartholomeus","Iulianus","Zulian","Zulian","","","","","","","Romano","Mairano","Romano","Mairano","","Marano","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",117,1154,"colleganza settlement","","Fantino","da Molin","Fantino","da Molino","Da Molin","Da Molin","","","","","","","Domenico","Centocori","Dominicus","Centum Quorum","","","","","","","",""
"Sebellico (1973)",188,1321,"colleganza","","Filippo","Barbadico","Phylippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Marino","Badoer","Marino","Baduario","Badoer","Badoer","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",541,1212,"colleganza settlement","","Giovanni","Bianco","Iohannes","Blanco de Canareclo","Bianco","Bianco","","","","","","","Angelo","Abriano","Angelus","Abriano","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",722,1239,"colleganza","","Margarito","Giacomo","Margaritus","Iacovo","","","","","","","","","Marco","Seio","Marco","Seio","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",377,1190,"colleganza","","Giacomo","Tiepolo","Iacobus","Teupulus","Tiepolo","Tiepolo","","","","","","","Marco","Tiepolo","Marco","Teupulo","Tiepolo","Tiepolo","","","","","",""
"Tiepolo (1970)",336,1313,"colleganza","","Pietro","Viadro","Petrus","Viatro","Viaro","Viaro","Francesco","Viadro","Franciscus","Viatro","Viaro","Viaro","Maria","Zeno","Maria","Çeno","Zeno","Zeno","","","","","",""
"Sebellico (1973)",16,1315,"colleganza","","Berno","Trevisan","Bernus","Tervixano","Trevisan","Trevisan","","","","","","","Catarina","dalla Fontana","Katarina","de la Fontana","Dalla Fontana","Dalla Fontana","","","","","",""
"Sebellico (1973)",190,1321,"colleganza","","Filippo","Barbadico","Phylippus","Barbadico","Barbarigo","Barbarigo","","","","","","","Marco","Morosini","Marco","Moroçeno","Morosini","Morosini","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",234,1170,"colleganza","","Pangrazio","Pascaligo","Pangrati","Pascaligo","Pasqualigo","Pasqualigo","","","","","","","Vitale","Voltani","Vitale","Vultani","","","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",31,1105,"colleganza settlement","","Giovanni","Baro","Iohanni","Baro","","","","","","","","","Domenico","Michiel","Dominicus","Michael","Michiel","Michiel","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",834,1256,"colleganza","","Vettore","Trevisan","Victor","Tervisanus","Trevisan","Trevisan","","","","","","","Omobono","Barastro","Homobono","Barastro","Barastro","Barastro","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",505,1207,"colleganza settlement","","Domenico","Gradenigo","Dominico","Gradonico","Gradenigo","Gradenigo","","","","","","","Giacomo","Mocenigo","Iacobus","Mucianigo","Mocenigo","Mocenigo","","","","","",""
"Tiepolo (1970)",337,1313,"colleganza","","Pietro","Viadro","Petrus","Viatro","Viaro","Viaro","Francesco","Viadro","Franciscus","Viatro","Viaro","Viaro","Domenzi","Lion","Domençi","Leone","Lion","Lion","","","","","",""
"Sebellico (1973)",156,1320,"colleganza","","Marco","Martinenzo","Marcus","Martinenço","Martinazo","Martinazo","","","","","","","Filippo","Corner","Philippo","Cornario","Corner","Corner","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",822,1221,"colleganza reference","","Tommaso","Bon","Thomas","Bono","Bon","Bon","","","","","","","Giamoco","Mudacio","Iacobo","Mudacio","Muazzo","Muazzo","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",607,1222,"colleganza settlement","","Matteo","de Manzolo","Matheo","de Mancolo","","","","","","","","","Filippo","Guido","Philippus","Guido","Guido","Guido","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",634,1226,"colleganza settlement","","Michele","Emo","Michaeli","Aimo","Emo","Emo","","","","","","","Giovanni","Grasso","Iohannes","Grasso","","Grasso","","","","","",""
"Sebellico (1973)",492,1328,"colleganza","","Marino","Morosini","Marinus","Mauroceno","Morosini","Morosini","","","","","","","Giacomo","Zordan","Iacobo","Çordano","Zordani","Zordani","","","","","",""
"Sebellico (1973)",894,1333,"colleganza","","Marco","Loredan","Marcus","Lauredano","Loredan","Loredan","","","","","","","Dardi","Babilonio","Dardi","Babilonio","Babilonio","Babilonio","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",343,1185,"colleganza","","Prodano","da Muggia","Prodanus","da Mugla","Da Mula","Da Mula","","","","","","","Pietro","da Muggia","Petrus","da Mugla","Da Mula","Da Mula","","","","","",""
"Morozzo della Rocca and Lombardo (1940)",149,1161,"colleganza settlement","","Giacomo","Venier","Iacobus","Venerio","Venier","Venier","","","","","","","Foscari","Malaza","Fuscari","Malaza","Malaza","Malaza","","","","","",""
