Family;Start;End
 DI PIGLI; 1334; nel '300
 CAROSO 1297,; 1310;1386
 BENFIZI; 1298;1366
 CALBO; 1297;1797
 FEXASONDA; ?;1315
 COTTONI; 1699;1797
 RUZIER 1297; ; tra 1632 e 1640
 DIEDO; 1297;1797
 AICARDO (HAICARDO); 1297;1305
 CORRER; 1297;1797
 SPATAFORA; 1409;1797 20
 SAVORGNAN; 1385;1797
 MARTINELLI; 1646;1772
 BENTIVOGLIO; 1488;1797
 DARPO; ?;1409
 ROSSI 1297,; 1329;1797
 FRANCO; ?;1307
 PISANI; 1297;1797
 THOMADO; 1297;1383
 BERLENDIS; 1662;1781
 CAISSELLI; 1779;1797
 VIELMO; 1297;1327 24
 STANIER; 1297; dopo 1363
 MAZARUOL; 1297; prima del '300
 CAVAZZA v. LION; CAVAZZA;
 VALPETRO; ?;1358
 ZACCARIA; 1381;1543
 BARBOLANI; ?;1311
 QUINTAVALLE 1297,; 1310; tra 1408
 DE LIA; ?;1308
 SURIAN; 1647;1701
 ZARA (DA); 1379;?
 NANI 1297,; 1381;1797
 FORNASE (DALLA); 1381;1407
 GRADELON; 1297; nel '300
 VENDELIN; 1297;1360
 GALLO; 1694; prima del 1759
 VEZZI; 1716;1769
 BEREGAN; 1649;1797
 FARAON; ?;1353
 FONDANIZI; ?;1306
 RUBINI; 1646; tra 1734 e 1759
 TREVISAN 1297,; 1381;1797
 MUSSATTI; 1776;1797
 BORINI; ?;1797
 ACQUISTI; 1686;1797
 BRIOSO (BRUGLOSO); 1297; nel '300
 NAVE; 1653; tra 1666 e 1698
 BOLDO; ?;1313
 COLLALTO 1297,; 1309;1797
 RECANATI; 1697; tra 1709 e 1712
 MOSTO (DA); 1297;1797
 NEGRO; 1381;1417
 BOSSO; 1297;1298
 NOSADINI; 1694;1797
 CAVALLIER; ?;1331 8
 CROTTA; 1649;1797
 FRACASSETTI; 1704;1797
 VERMO (DAL) 1388,; 1404; nel '400
 BADOER; 1297;1797
 ANGUSUOLA; ; 1499
 DAL SOL; 1310; nel '300
 ADDOLDO; 1310;1433
 ARIBERTI; 1655;1666
 BALZOLANI; ?;1315
 SORANZO; 1297;1797
 BELLOTTO; 1685;1759
 GUATARDO; ?; nel '300
 BREGONZI; 1665; tra 1709 e 1726
 RIARIO; 1481; dopo 1666
 BAFFO; 1297;1769
 SAVIA; 1297;1305
 DUODO; 1297;1797
 FABRIZI; ?;1303
 SURIAN 1297, 1303; ;1701
 GUBERTO 1297; ;1311
 CASSETTI; 1662;1797
 DELLI ASPINAL; ?;1309
 MARTINENGO 1448,; 1499;1797
 LUPANADI; ?;1348
 BUZZACARIN; 1782;1797
 TRON; 1297;1797
 CAVAGNIS; 1716;1785
 SODERINI; 1656;1797
 LEZZE (DA); 1297;1797
 PEPOLI 1338 16; ;1797
 BOCCAZO 1297–1472 o; 1476;
 SESENDILLO 1297, 1310; ;1397 19
 BIAQUA; ?;1350'
 RENIER; 1381;1797
 BORSELLI; ?;1322 o 1367
 SPINEDA; 1776;1797
 IALLINA; ?;1326
 ZAPOANI; ?;1326
 VERDIZZOTTI; 1667; tra 1726 e 1759
 MALAZA; ?;1320
 RUZZINI; 1297;1797
 GAMBARIN 1297; ;1299
 DALBORE; ?;1371
 OGNIBEN; ?;1311
 ZANCANI; 1297;1502
 MENGOLO 1297,; 1310;1401
 DE VERARDO; 1312;1317
 TOLONEGI (TANOLICO); 1297;1322 21
 LOLIN; 1436;1632
 MARCELLO; 1297;1797
 MAGGIO; ?;1307
 OBIZO; ?;1346
 ZINO; 1718;1797
 BOLDÙ; 1297;1797
 CIVRAN; 1297;1797
 TOTULO; 1297;1383
 STROBARDO; ?;1355
 ALBRIZZI; 1667;1797
 ONORADI; 1297;1544
 TRAVAIONTI; ?;1370
 RANASO; ?;1377
