Name,Year,Type
"Giovanni Trevisan",1255,tractor
"Giovanni Zeno",1323,stans
"Giovanni Zulian",1324,tractor
"Giovanni dei Boccoli",1320,stans
"Giovanni, Domenico & Bartolomeo Marin",1230,stans
"Giovannino Morosini",1342,stans
"Giovannino Sanudo",1316,tractor
"Giovannino Sanudo",1316,tractor
"Giovannino Sanudo",1316,tractor
"Giovannino Sanudo",1316,tractor
"Giovannino Sanudo",1316,tractor
"Giovannino Sanudo",1316,tractor
"Giovannino Sanudo",1316,tractor
"Giovannino Tiepolo",1321,stans
"Giovannino Tiepolo",1322,stans
"Giovannino da Trau",1322,stans
"Girardo Albizzo",1232,stans
"Gisio Da Fano",1206,tractor
"Goffredo Morosini",1320,tractor
"Goffredo Morosini",1320,tractor
"Gotello Vidal",1183,tractor
"Grandonio di Troia",1254,stans
"Graton Dandolo",1316,stans
"Gratone Dandolo",1316,stans
"Guidota Zorzi",1223,stans
"Guidotto Gritti",1211,tractor
"Iacopo Venier",1233,tractor
"Imperatrice Michiel",1312,stans
"Lazzaro Mercadante",1242,stans
"Lazzaro Mercadante",1243,stans
"Lazzaro Mercadante",1243,stans
"Lazzaro Mercadante",1244,stans
"Lazzaro Mercadante",1244,stans
"Lazzaro Mercadante",1248,stans
"Lazzaro Mercadante",1257,stans
"Lazzaro Mercadante",1257,stans
"Lazzaro Mercadante",1258,stans
"Lazzaro Scutario",1260,stans
"Leonardo Boccazo",1189,stans
"Leonardo Bosio",1210,stans
"Leonardo Bosio",1210,stans
"Leonardo Bosio",1217,stans
"Leonardo Donato",1220,stans
"Leonardo Lanfranchi",1247,tractor
"Leonardo Minio",1228,tractor
"Leonardo Minio",1230,tractor
"Leonardo Minio",1242,stans
"Leonardo Venier",1312,tractor
"Leonardo Villano",1220,stans
"Leone Copula",1165,stans
"Leone Copula",1165,stans
"Leone Corner",1159,stans
"Lipefina Manolesso",1159,stans
"Lombardo Bon",1234,stans
"Lucia de Protis",1323,stans
"Maddalena Pesaro",1312,stans
"Marchese Veronese",1240,stans
"Marchesina Da Molin",1338,stans
"Marchisino di Loreo",1207,stans
"Marco & Giovaninno de Protis",1323,tractor
"Marco & Giovaninno de Protis",1323,tractor
"Marco Belegno",1314,tractor
"Marco Belegno",1316,tractor
"Marco Caravello",1239,stans
"Marco Cavalerio",1207,stans
"Marco Corner",1202,stans
"Marco Corner",1205,stans
"Marco Da Molin",1323,tractor
